movieId,title,genres,actors,director,ott
47,Sardar (2022),Action|Drama,Karthi|Raashi Khanna,PS Mithran,Netflix
48,Ponniyin Selvan: Part 1 (2022),History|Drama,Vikram|Karthi|Jayam Ravi,Mani Ratnam,Amazon Prime
49,Ponniyin Selvan: Part 2 (2023),History|Drama,Vikram|Karthi|Jayam Ravi,Mani Ratnam,Amazon Prime
50,Thunivu (2023),Action|Thriller,Ajith Kumar|Manju Warrier,H. Vinoth,Netflix
51,Varisu (2023),Drama|Family,Vijay|Rashmika Mandanna,Vamshi Paidipally,Amazon Prime
52,Nanpakal Nerathu Mayakkam (2023),Drama|Fantasy,Mammootty|Ramya Pandian,Lijo Jose Pellissery,Netflix
53,Ayothi (2023),Drama|Family,Sasidaran|Preethi Asrani,R. Manthira Moorthy,Zee5
54,Dada (2023),Romance|Drama,Kavin|Aparna Das,Ganesh K. Babu,Amazon Prime
55,Por Thozhil (2023),Thriller|Crime,Ashok Selvan|Sarath Kumar,Vignesh Raja,Sony LIV
56,Jailer (2023),Action|Comedy,Rajinikanth|Vinayakan,Nelson Dilipkumar,Amazon Prime
57,Mark Antony (2023),Action|Sci-Fi,Vishal|SJ Suryah,Adhik Ravichandran,Amazon Prime
58,Leo (2023),Action|Thriller,Vijay|Trisha,Lokesh Kanagaraj,Netflix
59,Good Night (2023),Comedy|Drama,Manikandan|Meetha Raghunath,Vinayak Chandrasekaran,Disney+ Hotstar
60,Blue Star (2023),Sports|Drama,Ashok Selvan|Shanthanu,S. Jayakumar,Amazon Prime
